н,,,,,,,
,,,,,,,
ЗАДАНИЯ И ПРАКТИКИ ДЛЯ КУРСА МИЛАНЫ,,,,,,,
,,,,,,,
Планета,,Запрос ца,Название,Форма задания,Описание,В дизайне,
,9,, 3 удовольствия в день,Упражнение,"Заведите себе дневник или планнер. Ваша задача — каждый день делать одно, а лучше три действия, которые приносят вам удовольствие. Планируйте в течение дня эти ритуалы. Это может быть чашка кофе в любимом кафе, или 15 минут утром наедине с собой, или горячая ванна с солью перед сном. Если у вас загруженный день, особенно важно включать в него эти действия. С этого дня вы планируете свое время и начинаете планирование именно со своих удовольствий. Сначала вы думаете о них, потом об остальных задачах дня.

",,
,10,,Практика концентрации и фокуса,Упражнение,"В течение дня удерживайте фокус внимания на конкретных действиях, которые вы делаете. При появлении посторонних мыслей снова возвращайте фокус внимания на действие. Пример: если вы смотрите сериал, то вы ничего параллельно не делаете. 
При выполнении рабочих задач вы можете себе помочь — в первое время можете ставить будильник на 25 минут работы и на 5 минут отдыха. Постепенно вы научитесь через этот простой навык балансировать свой уровень концентрации.",,
,11,,Энергетические вампиры. Диагностика окружения,Практика,"Напишите список всех людей, с которым вы общаетесь в течение дня/недели/месяца. 
Проанализируйте этот список. 
Кто из этих людей забирает вашу энергию, после кого вы чувствуете усталость? 
Кто вас наполняет, после кого вы чувствуете прилив энергии? 
Люди и ваше окружение имеют на вас очень сильное влияние. Сбалансируйте общение энергодающих и энергозабирающих людей. Иногда люди из близкого круга могут оставлять вас без энергии, и да — ваша задача на начальном этапе будет — минимизировать общение с ними. Это нужно будет сделать, чтобы вернуть ресурс себе.",,
,,,,,,,
Луна (отношения),1,"Не знаю, где найти своего мужчину",Практика «Навстречу своему мужчине»,Практика ,"Представьте своего идеального мужчину и отношения мечты. 
Каким вы хотите видеть своего мужчину. Как он выглядит? Где он живет? Кем работает? Сколько зарабатывает? На какой машине ездит? Как он относится к своим близким, к вам? Какие у него ценности? Какие у него хобби? Какое окружение? Кто его друзья, с кем он общается? Как вы себя чувствуете рядом с таким мужчиной? Как он проводит свободное время? 
Опишите все это детально. Погрузитесь в ощущения. 
Ответьте на вопрос: что вы хотите чувствовать рядом с ним? Из этого состояния сделайте следующее задание. 
1. Ответьте на вопрос: где может обитать такой мужчина? В каких клубах состоять, в каких кафе обедать и завтракать? Какие мероприятия он может посещать? Где он встречается со своими друзьями и знакомыми? 
Ваша задача — быть в этих местах и проявляться. 
2. Подумайте, какая женщина должна быть рядом с таким мужчиной. 
Разделите лист на 2 столбца. 
В левом по пунктам подробно опишите мужчину своей мечты, какими он обладает качествами. 
Справа напротив каждого качества мужчины напишите: какое качество у женщины должно быть, чтобы быть наравне с этим мужчиной.",https://docviewer.yandex.ru/?url=ya-disk-public%3A%2F%2FMzIz%2B7tKWigCouokU3ODkl8aMyIyKTuRUEDuSuWAzXXGR11B7%2BTAw6f3GCu11qMjq%2FJ6bpmRyOJonT3VoXnDag%3D%3D%3A%2FПрактика%20«Навстречу%20своему%20мужчине».pdf&name=Практика%20«Навстречу%20своему%20мужчине».pdf,
,2,,Законы женщины привлекаЮЩЕЙ мужчин,Чек-лист,"1. Расслаблена, у нее нет чувства тревоги.
2. Доверяет своему мужчине, всем мужчинам.
3. Видит достоинства своего мужчины и по-настоящему ими восхищается.
4. Не дает советы своему мужчине, а просто поддерживает его своей верой.
5. Считает своего мужчину лучшим и не сравнивает его с другими.
6. Не спасает своего мужчину и дает ему право самостоятельно решать проблемы.
7. Умеет просить подарки и принимать их.
8. Очень много желаний, и она говорит о них своему мужчине.
9. Любит свою жизнь, ей интересно с самой собой, комфортно в своем одиночестве.
10. Увлечена своими интересами, хобби, деятельностью.
11. Любит и принимает свое тело.
12. Умеет получать удовольствие.
",https://disk.yandex.ru/d/O-katPNbKHY_Ig,
,3,"Как женщине проработать себя, чтобы мужчина рос в доходе, дарил подарки",Практика наполнения энергией своего мужчины,Практика ,"Выполняйте эту практику каждый день. 
Представляйте своего мужчину и мысленно снимайте свои доспехи, свою силу и вешайте ему на плечи. Освобождайтесь от переизбытка мужской энергии внутри вас, передавайте ее мужчине. Чувствуйте, как вы наполняетесь женской энергией в этот момент. 
Посмотрите на своего мужчину и наблюдайте, как он растет на ваших глазах, становится сильнее, мужественнее. 
Каждый день находите в действиях и жизни своего мужчины победы и хвалите его за каждую мелочь. Обязательно говорите ему об этом вслух. 
Когда мужчина вам о чем-то рассказывает, слушайте его внимательно, давайте ему свою энергию. Наблюдайте, как постепенно, не сразу, будет меняться его состояние, достижения и, конечно, отношение к вам

","
https://disk.yandex.ru/i/4tL21jNRmARH8Q",
,4,,Практика на счастливые отношения,Практика ,"Напишите список из 50 пунктов, чем вы восхищаетесь в своем мужчине, список его плюсов, что он умеет делать лучше всех, за что вы его цените, что вам понравилось в нем, когда вы только познакомились, за что вы ему благодарны.","
https://disk.yandex.ru/i/veLRKWywTqdUxg",
,5,,НЕЙРО ЖЕНЩИНА-СОЛНЦЕ,Нейропрактика ,,ВЗЯТЬ ИЗ ГЖ С ГЕТКУРСА ,
,6,Не умею себя правильно поставить,Практика проработки личных границ ,Практика ,из планеты солнце,https://docs.yandex.ru/docs/view?url=ya-disk-public%3A%2F%2FMzIz%2B7tKWigCouokU3ODkl8aMyIyKTuRUEDuSuWAzXXGR11B7%2BTAw6f3GCu11qMjq%2FJ6bpmRyOJonT3VoXnDag%3D%3D%3A%2FПрактика%20проработки%20личных%20границ.pdf&name=Практика%20проработки%20личных%20границ.pdf&nosw=1,
,7,,Техника донесения до мужчины своих желаний,Упражнение,"Потренируйте общение с мужчиной по формуле: 
комплимент - желание - комплимент
Комплименты важно говорить искренне и естественно, с соответвующим тоном, лицом и энергетическоим посылом. 
Когда вы проговариваете свое желание, вы деликатно обьясняете, как с вами нужно себя вести, чего вы хотите, каких действий от мужчины.
Завершая диалог комплиментом, вы программируете мужчину на поведение.
Например:
Вы такой заботливый и галантный мужчина. И я готова принять от вас (такой_то) подарок и конечго  в том случае, если меня это ни к чему не обяжет. Вы очень щедрый мужчина , женщине рядом с вами чувствует себя как за каменной стеной.",https://disk.yandex.ru/i/ioYEXd5TvrQf6Q,
,8,Как забыть бывшего,Энергетический развод с бывшими,уадиопрактика из гж,,ИЗ ГЖ,
,9,"Не умею общаться с мужчинами, нет понимания ссор и конфликтов",Как помириться при конфликтах,лайфхак,"если у ва возник конфликт, либо вы хотите что их не было из_за недопонимания важно обсуждать со своим парнером как вы оба видите ваши отношения, сей союз. К чему вы как союз хотите прийти. И как вы это видите. Ведть вы хотите, чтобы вы были вместе и были счастливыпри этом? 
То есть вы и ваш партнер прогоывариваете, Каждый отдельно ( начиная с вас) рассказываете свое видение: что для вас означает семья и к чеум вы хотите прийти. Послерассказыввате он. И вы приходите к общему:  описываете вашу общую цель. После каждый из васс рассказывает что к готов сделать со своей стороны для достижения общей цели. Таким образом вы возьмете ответственность на себя и снизите уровень претензий к своему партнеру.
",https://disk.yandex.ru/i/SifTHvuAwQ3sEg,
,10,,"как Узнать, что у него в голове",расстановочное Упражнение ,"Возьмите 2 стула. Назначьте себе роли. Когда вы сидите на первом стуле, вы выполняете свою роль. Когда вы сидите на 2м стуле, вы выполняете роль своего мужчины. Перемещайтесь со стула на стул, разыграйте диалог между собой и мужчиной. Дайте описание ситуации, когда вы находитесь в своей роли, затем - в роли мужа. Опишите чувства. Старайтесь говорить через: я слышу, я чувствую, я вижу. Определите результат, какой вы хотите, находясь в своей роли. Следом переместитесь на стул мужа. войдите в его роль и опишите его чувства и желания его цели и ожидания  а также видение результата глазами мужа. Ищите решения, которые удовлетворят вас обоих, пересаживаясь со стула на стул. В конце взаимодействия сделайте проверку на экологичность. Ответьте на вопрос по очереди, сначала в роли себя, потом в роли вашего мужчины: не потеряли ли вы что-нибудь позитивное в процессе разговора?
",https://disk.yandex.ru/d/gnwjihsQ4gE55w,
,11,"Мужчина на мне не женится, несерьезные отношения",Возвращаться ли к бывшему?,Практика,"Напишите на листе: по каким причинам вы разошлись.
Когда мужчина возвращается к вам, ответьте себе на вопрос: то, из-за чего вы расстались, еще важно для вас?
Если важно, ответьте на 2й вопрос: как изменились эти причины?
",https://disk.yandex.ru/i/RlBBp1xA8-75qg,
,12,,как строить отношения,Практика,"1. Пропишите: чего вы хотите от своего мужчины, от отношений? Вы готовы сейчас к серьезным отношениям или вам достаточно встреч и флирта? Как вы хотите, чтобы мужчина относился к вам?
2. Ответьте после этого себе на вопрос: а говорите ли вы об этом мужчине? Показываете ли свои истинные желания или проявляете другие из-за страхов быть непонятой, ложных убеждений?
Ваша задача - научиться понимать: чего вы на самом деле хотите и свободно транслировать это мужчинам.
",https://disk.yandex.ru/i/_A24J6Kh7Bx48Q,
,13,"Не могу найти настоящего мужчину, все делаю сама",Прокачка женственности. баланс Жеской энергии,Упражнение,"В отношениях с другими: Выйти из роли мамы, учительницы, спасательницы, судьи и прочее для вашего мужчины. Да и вообще для всех, в том чиле для своих родителей. В отношении к работе: изменить воеденчие паттерны присущих мужчинам - работаь много и тяжело, рабоать ради выживания и чтобы прокормить семью, гипер контроль, власть, насталвения, гиперответсвенность, жесткость и пр.  В отношении к себе: чаще выбирать из хочу, а не надо, бережное отношение к своему телу и чувствам, перестать экономить на себе, ритуалы по уходу за своей вншностью и здоровьем, опрятынй вид и быт, относиться к себе как хрустальной статуетке  то етсь оберегать и поддерживтаь себя из любви. В отношении с внешним миром: в течение дня регулярно и осознанно прибегайте к помощи мужчин. Каждый раз, когда вам что-то нужно сделать: открыть дверь, донести сумку, поднять вещи, купить что-то  - просите об этом помощи у мужчин. Перекладывать принятие важных оющих решений на совего мужчину. Просить помощи при решении проблем , уходить оттуда где вас не поддерживают, давят, поднимают руку, унижают - не втупая в борьбу.
",https://disk.yandex.ru/d/NQl-m4qzq5nLPw,
,14,,ЛАЙФ ХАКИ ПО ЧС,,девять штук из гж,"1: https://disk.yandex.ru/d/GFIqWs4sTw4BwA
2: https://disk.yandex.ru/d/5NJWouFjE-LEXw
3: https://disk.yandex.ru/d/PeQUv5utQ3C6CA
4: https://disk.yandex.ru/d/zdhy_rdgwmOJ9A
5: https://disk.yandex.ru/d/vEPZj1lxS0oXMA
6: https://disk.yandex.ru/d/mOHuyZ_HX1kJ8g
7: https://disk.yandex.ru/d/5qFKJsGkRTtxEw
8: https://disk.yandex.ru/d/yEEo-vEtJ8cVQQ
9: https://disk.yandex.ru/d/o6jo2cSqaiAKeA",
,15,"Нет романтики, страсти, близости в отношениях",Вернуть страсть в отношения ,Чек-лист,"- ходите дома красивая без белья
- введите семейные традиции
- совместный ужин вдвоем
- раз в месяц уезжайте в отель на 2 дня
- займитесь сексом в необычном месте
- поцелуйте друг друга в день 8 раз
- обнимайтесь 8 раз в день
- квест 30 дней секса 
- присылайте романтичные или откровенные сообщения друг другу
- отдохните друг от друга 
- устройте необычное свидание-сюрприз своему партнеру, или вечер экстремального опыта
- устройте вечер тантры
 - попробуйте что-то новое в сексе ( поза, инвентарь, ролевые игры) 
- сходите на танцы парные -сходите на совместные танцы танго, бачата _ флиртуйцте с ним и отсылайте голые фотографии",https://disk.yandex.ru/i/tbDIjDvfrm4Zew,
,16,,Практика благодарности,,из планеты кету,https://disk.yandex.ru/i/KKBjQ43OCK0pIw,
,17,Как выйти из родительских сценариев и построить гармоничные отношения,Идеи романтических свиданий ,Гайд,Гайд по свиданиям из гж,https://disk.yandex.ru/d/jpWwLa70DUeN9w,
,18,,Снятие с себя родительских сценариев,Практика,"Напишите свое отношенияе к мужчинам, к вашему партнеру, папе. коллегам на работе. Есть ли здесь претензии? Если да, ответьте на вопрос: чьи они? Ваши? Мамины? Бабушки? Представьте этого человека и как вы возвращаете ему эти претензии, негативные убеждения и опыт по поводу мужчин. Они вам больше не служат. А себе оставляете - только полезные и и добавляете позитивные ",https://disk.yandex.ru/i/3xTdVkAKsHv1Zw,
,19,,Гармонизация отношений с родителями,Практика,"Напишите письмо маме и папе по образцу, и ответ на эти письма: «Дорогой/ая папа/мама, я злюсь на тебя за то, что ты... Мне обидно, потому что ты... Мне больно, потому что ты... Я был/а разочарован/а, когда ты... Мне грустно, потому что... Мне страшно от того, что... Я сожалею о том, что... Я благодарю тебя за то, что... Если почувствуете очищение и добрые чувства, то так и напишите: «Я люблю тебя!». Ответ на письмо обид: «Я прошу прощения за... Теперь мне понятно, что... Спасибо тебе за... Я люблю тебя». После написания всех писем представьте перед глазами маму и папу и проговорите им мысленно: «Я  вас люблю. С благодарностью начинаю отношения с вами с чистого листа».",https://disk.yandex.ru/d/uatSPiYQ2vSa8w,
,20,,КАК ИЗМЕНИТЬ ПАРТНЕРА,Практика ,"КАЖДЫЙ ЧЕЛОВЕК НАШЕ ЗЕРКАЛО. ЧАТСЬ НАС ПРИТЯГИВАЕТ ОПРОЕДЕЛЕННЫЙ ОПЫТ, КОТОРЫЕ НАМ ВОСПРОИЗВОД]Т ОКРУЖАЮЩИЕ. ЧТОБЫ ИЗМЕНИТЬ ТО ЧТО ВАМ НЕ НРАВИТСЯ В ПОВЕДЕНИИ ДРУГИХ ЛЮДЕЙ , НУЖНО РАССОЗДАТЬ В СЕБЕ ЭТУ ПРОГРАММУ. План А: Вы признаете свои теневыен стороны, План Б Находите плюсы в минусовом проявлении своего партнера . Таким образом вы убираете напряжение в этих аспектах.принимаете теневую сторону себя и парнета. И больше вам не нужно проживтаь данный опыт. После этого сценарии могут измениться. А парнер  измениттьсч яили изменить к вам свое отношение",https://disk.yandex.ru/i/LKN6vl1_gMBk3A,
,,,Техника на баланс (из Марса),,,✔️ ,
Венера,1,"Раздражительность, много суеты, не хватает времени",Быть в ресурсе,Практика,"Напишите список действий и ресурсов, которые забирают энергию и список действий, которые наполняют энергией (например, прогулка на свежем воздухе - наполняет, поход за продуктами - забирает энергию). Фокусируйте себя каждый день на наполняющих действиях. Начните вести гугл календарь и планировать свои дела на неделю вперед. аналитзируйте дела- выделяйте все дела цветом: зеленые – что вы любите делать и то, что вас наполняет, желтые – рутинные дела, которые бы вы хотели делегировать, красные – дела, которые забирают энергию. Ваша задача постепенно привести свой календарь к зеленому цвету.  
",https://disk.yandex.ru/i/dCKtTSO0XYf5uw,
,2,,Научиться делегировать ,Практика,"Время – самый ценный ресурс. Подумайте, на сколько правильно вы им распоряжаетесь. Для того чтобы быть на энергии, начать зарабатывать кратно больше, необходимо научиться делегировать. Делегирование - это освобождение своего времени, сил и внимания для того, чтобы заниматься теми вещами, которые приносят больше удовольствия и результата. 2 этапа делегирования: 1. Проанализируйте свой быт и рутину - какие действия забирают у вас энергию - освобождайтесь от них. 2. Проанализируйте свою работу. Пропишите - что вы любите делать. Эти дела вы в первую очередь должны оставить себе. Что вы любите делать в меньшей степени, что вас бесит - делегируйте.  Проанализируйте: что вы делаете за деньги, а что вы делаете бесплатно. Освободитесь от действий, которые не ведут вас к деньгам. Успешная энергичная и масштабная личность делегирует все рутинные задачи, и оставляет время для любимых и стратегически важных дел. Существуют 2 пути делегирования: платный и бесплатный. Платный - вы покупаете чье-то время. Бесплатный - вы можете попросить о помощи подругу, маму, договориться с кем-то по бартеру в рамках рабочего процесса, сделать коллаборацию. ",https://disk.yandex.ru/d/pTniXopJuH3vgg,
,3,Как полюбить себя,Любовь к себе,Аудиопрактика,В планете Солнце,,
,4,Как стать женственной и сексуальной,Нейропрактика НА БОГАТОГО МУЖЧИНУ,Нейропрактика,,,
,5,,Принятие себя,Практика,Разделите лист на 2 части. Слева напишите свои минусы. Справа напротив каждого минуса напишите по 3 плюса на этот минус. ,https://disk.yandex.ru/d/QnDrHvgzC0BtSQ,
,,,Повысить либидо и улучшить секс,Гайд,"Из ГЖ подборка фильмов, секс-игрушек и",https://disk.yandex.ru/d/MS3YC-MC6OsLKw,
,,,Вернуть страсть в отношения ,Чек-лист ,Из луны,https://disk.yandex.ru/i/tbDIjDvfrm4Zew,
,6,,Как стать манкой,Практика ,"Вы, наверно, обращали внимание, когда вы выходите из салона - вы чувствуете себя совсем по-другому.
Возьмите за правило: всегда выглядеть красиво и ухоженно на протяжении недели/месяца - каждый день. Независимо от того, где вы находитесь: дома, гуляете с собакой, ведете ребенка в школу. Обратите внимание на свою домашнюю одежду, она должна быть женственной и красивой. Макияж, красная помада, любимый аромат, ухоженное тело - все это те атрибуты, которые мягко и незаметно погружают в женское состояние. Внесите в свою жизнь больеше женских ритуалов ухода за собой: крема, свечи, ванны с солью перед сном, не выходите из спальни, пока за собой не поухаживаете. Украшайте пространство, в котором вы живете, работаете - покупайте элементы декора, свежие цветы, используйте красивую посуду, сервируйте стол.
Выбирайте для себя периодически время, когда вы ходите дома голая. Так вы сможете быстрее наладить контакт с телом, включить чувственность.  Также попробовать занятия тантроц, пилатес, танцы , бачата или танго. Через тело поднимать женскую медовую энергию. И конечно замедляться. Плавность - язык королев",https://disk.yandex.ru/d/8K3SPziCGpBatw,
,7,,Практика на раскрытие сердца,Аудиопрактика + мАНТРЫ,"Почему это важно. Сердце дает намного больше энергии, чем любой другой орган вашего тела. Когда оно раскрыто – вы живете в доверии, любви к себе, без обид и огорчений. Вы посылаете во вселенную свои запросы и вселенная вам отвечает. 
Займите удобное положение. Сядьте, лягте, как удобно. Закройте глаза. Сделайте глубокий вдох через нос и выдох через рот. Представьте, как из центра земли поднимается поток энергии, проходит через стопы и активирует каждую клеточку вашего тела. Энергия поднимается и тело расслабляется, начиная от самых пяток. Расслабляются ноги, бедра, таз. Расслабляется низ живота, полностью живот, грудь. Дыхание ровное и спокойное. Расслабляются плечи, руки. Расслабляется шея, голова лицо. Ваше тело полностью расслаблено.  
И вот энергия касается вашего сердца. Я прошу раскрыть в каждой клеточке вашего тела знание, как это чувствовать: доверять. Я знаю, как это чувствовать: я в безопасности. Почувствуйте, как эти чувства активируются в теле. А энергия раскрывает ваше сердце. И оно раскрывается как красивый бутон прекрасного цветка.  Почувствуйте, как в вашем теле раскрывается чувство любви. Почувствуйте легкость и расширение.  Почувствуйте благодарность к своим родителям и всем своим близким, себе, этому прекрасному миру за то, что вы здесь, своему роду за то, что он вас поддерживает.  И представьте, как вы им отправляете энергию благодарности от своего сердца к их сердцам. 
Когда будете готовы - открывайте ваши глаза. ТАКЖЕ ПРЕЛАГАЮ 
",https://disk.yandex.ru/d/zjMDodWIjfyE9Q,"мантры добавить, добавить в марс"
,,,МАНТРЫ  к прпактике на раскрытие сердца,Практика,"Каждый день повторяй мантры:

Я излучаю любовь
При каждом соприкосновении со мной, люди получают энергию любви
Я есть доброта
Я – любовь Бога на Земле
Куда я ни иду и за какое дело ни берусь, я направляю любовь Бога впереди себя ",https://disk.yandex.ru/i/ZSy1pMokc4hCOw,
,9,"Хочу научиться ни в чем себе не отказывать, радовать себя",Техника вдохновения и поиска любимого дела,"Техника (Марс, Венера, Раху) ","Напишите список, какие занятия и действия вас наполняют: творчество, массаж, объятия, тренировки, прогулки, покупка одежды, музыка, добрые слова себе, встречи с близкими и т. д. Не менее 20 пунктов. 

Если вы понимаете, что вы не знаете, что вы любите и что вас зажигает, ваша задача найти такие увлечения и хобби. Они сделают вас счастливей и энергичней, жизнь станет ярче. А также, именно из ваших увлечений может родиться дело мечты, на котором в дальнейшем вы будете зарабатывать. Найдите занятия, дела или хобби, которые вас наполняют и вдохновляют. 
Если вы не понимаете, что может вас вдохновлять, пробуйте новое! Отслеживайте свои ощущения и отмечайте, что именно вам нравится. Вы можете воспользоваться чек-листом занятий для вдохновения",https://disk.yandex.ru/i/ch-kyuofx6w5iw,
,10,, РАСШИРЕНИЕ ФИНАНСОВОЙ ЕМКОСТИ,Виртуальные деньги,В планете Сатурн,https://disk.yandex.ru/i/VX2dqOYjK39JEA,
,11,,проявление своей внутренней женщины,Упражнение,"Напишите список своих 30 - 50 желаний. Напротив каждого желания отметьте: почему вы этого достойны уже сейчас.
",https://disk.yandex.ru/i/X1hEuuJ8tZfe2Q,
,12,"Зажаты эмоции, скована, хочу стать смелой и раскрепощенной",Практика на отпускание контроля и снятие ответственности - поменяли название,Практика,"1. В ОТНОШЕНИЯХ ИНОГДА МЫ ПРОЯВЛЯЕМСЯ НЕ КАК ПАРТНЕР, А КАК: мама, учительница, спасательница. Пропишите все ситуации, в которых вы ведете себя как мама/спасатьель и тп. 2. Опишите свой аватар: вы - красивая, сексуальная, легкая, успешная, реализованная женщина. Как себя чувствует эта женщина? Как она проявляется? 3. Погрузитесь в состояние своего аватара и из этого состояния напротив каждой ситуации в 1-м пункте напишите: Как вы хотите поступать там на самом деле? Как вы - реализованная сексуальная, принимаете решения? Какие свои качества проявляете? Как вы себя чувствуете, когда так проявляетесь? 4. Примите решение действовать с этого дня именно так, а также постоянно анализировать свое состояние и поведение: ведете ли вы себя как ваш аватар, чувствуете ли вы себя так. Если нет - осознанно переключайтесь.",https://disk.yandex.ru/d/saOak-9TDB08Jw,
,13,,"Жить из «Хочу», а не «Надо»",Упражнение,"Ваша задача – развить навык глубинного понимания, для чего вы на самом деле делаете какое-то действие? Перед каждым новым действием задавайте себе вопросы: зачем вы собираетесь делать это? Как это действие повлияет на вашу дальнейшую жизнь? Вы хотите это делать или вам «надо». Если «надо», то выберете 1 из вариантов: 1) либо откажитесь СЕЙЧАС ИЛИ навсегда от этого действия 2) либо найдите в действии пользу и удовольствие для себя. Каждый день в дневнике фиксируйте, какие действия преобладали: «хочу» или «надо»",https://disk.yandex.ru/i/Wv3tA7uVWTefBw,
,14,"Не умею радоваться жизни, жить в кайф, быть в моменте",Жизнь в удовольствие уже сейчас ,Практика,"Пропишите подробно ваш идеальный день. И список: что в этом дне зависит от количества денег в вашем кошельке? Напишите список: что вы можете делать уже сейчас? Какие вещи бесплатно вы можете делать? Начните жить днем мечты уже сейчас.
",https://disk.yandex.ru/i/WDO2QvXZpexuOA,
,15,,Практика «Свидание с собой»,Практика,"Подумайте, как вы хотите провести день, или 3-5 часов своего времени. Наедине с собой. Как вы хотите себя порадовать. УСТРОЙТЕ СЕБЕ СВИДАНИЕ МЕЧТЫ, от чего получите удовольствие. Это может быть поход в СПА, или на массаж, а может быть - прогулка в лесу. Возможно вы хотите подарить себе несколько часов шопинга и кофе в уютном кафе. Напишите это свое желание и дайте себе обещание - подарить такое свидание себе в ближайшие дни.
ВО ВРЕМЯ СВИДАНИЯ ЗАКРЕПИТЕ В СЕБЕ СОСТОЯНИЯ И ЧУВСТВА, КОТОРЫЕ ПРОЖИВАЕТЕ. ВОЗМОЖНО ВАМ ЗАХОЧЕТСЯ ВЫПИСАТЬ МЫСЛИ САМОРЕФЛЕКСИИ",https://disk.yandex.ru/i/YSvpW3Q7GwItVQ,
,16,,Королевская энергия,Практика,"Пропишите свой аватар успешной роскошной женщины. Как вы себя чувствуете, когда вы такая женщина. Визуализируйте это состояние. Каждый день в течение дня задавайте себе вопрос: а вы сейчас в своем действии выбираете себя или кого-то другого?  Чаще представляйте себя такой, входите в это состояние, реагируйте на вещи и принимайте решения, исходя из этого ",https://disk.yandex.ru/i/y8GXdKgH4nBIjA,
,17,"Делаю все для других, забываю о себе, экономлю на себе, угождаю всем",,,,,
,18,,,,,,
,19,Как начать проявлять свою женственность,Я выбираю себя,,"Напишите списки: 1) что вы позволяете себе и чего вы достойны, 2) чего вы хотите и чего вы не хотите. ДАЛЕЕ В ТЕЧЕНИЕ ДНЯ СПРАШИВАТЬ: А СЕЙЧАС Я ВЫБИРАЮ СЕБЯ?",https://disk.yandex.ru/d/pRQxJFWltFU7xQ,
,20,,Техника на раскрытие сексуальности,Аудиопрактика,"Какая она – женственная, сексуальная женщина? Она умеет наслаждаться, заземляться, отдыхать, научилась снимать с себя контроль и доверять мужчине и Вселенной, спокойная, выбирает себя. Чтобы стать такой женщиной, выполняйте каждый день в течение месяца эту практику. В момент, когда вы чувствуете, что устали, хотите отдохнуть, но продолжаете что-то делать, ощущаете нулевую энергию, либо в моменты стресса, представляйте, что рядом с вами находится женщина, котрая о вас заботится. Представляйте максимально подробно: как она выглядит, какого цвета у нее глаза, во что она одета. Она прекрасна и невероятно красива, у нее нежный голос и мягкая улыбка. Она подходит к вам. Что она вам говорит? Какие слова? Что она делает? Возможно она обнимает вас, крепко прижимая к себе. А может быть она говорит вам, что нужно отдохнуть и пойти заварить себе чай. Она может предложить вам прямо сейчас поехать в СПА или пойти на прогулку. Прислушайтесь к этой женщине. Прочувствуйте, что вы хотите сделать прямо в этот момент, когда она с вами разговаривает. Первые дни вам возможно будет сложно найти с ней контакт. Не расстраивайтесь. Просто продолжайте. И через время вы заметите, как начинает раскрываться ваша женственность.",https://disk.yandex.ru/d/0Up1VmR6Qj_wCQ,
,,,Практика на раскачку своих желаний,Практика + ЧЕК ЛИСТ БЕЛЯКЕОВОЙ,"Пропишите список (50-100 пунктов): чего вы хотите, о чем мечтаете, какие у вас есть желания. Они могут быть и маленькими (устроить себе выходной день и ничего не делать или купить новый комплект белья), и большими (ремонт в квартире, покупка дома). Не ограничивайте себя. Важно: когда пишете желания, соединяйтесь с каждым из них, чувствуйте — ваше это желание или нет. Ваш мозг может содержать огромное количество чужих желаний. Для проверки истинности желания представляйте: а что вы будете чувствовать, когда осуществите это желание? Если вам нравятся эти ощущения и чувства, — желание ваше. Важно: не думайте о деньгах, не ограничивайте свою фантазию. Пишите из состояния: у вас уже все есть.",https://disk.yandex.ru/d/NdHptiNURBicjA,
,,,Мониторинг доходов и расходов,задание,"Заполните таблицу, где 1-я колонка – ваши активы, 2 колонка – ваши  доходы , 3 колонка – ваши расходы. Проанализируйте свое финансовое состояние. Для роста дохода вы должны понимать точку, от которой необходимо оттолкнуться.",https://disk.yandex.ru/d/yV3V4t6NPn-_0A,
Сатурн (реализация),1,Как построить лучший сценарий своей жизни,Техника богатства и роскоши ,,"Оцените 4 сферы своей жизни: деньги, работа, яркость жизни, комфорт от 0 до 10. Пропишите по каждой сфере - на сколько реально от 0 до 10 вы сможете сделать улучшения. Опишите по каждой сфере желаемый уровень жизни. Поставьте конкретные задачи, которые вам необходимо сделать, чтобы приблизиться к идеальному уровню по каждой сфере.",https://disk.yandex.ru/i/JfvxgFG8TevH7A,
,2,,Нейропрактика «Масштаб и квантовый скачок»,Нейропрактика,,,
,3,Как начать больше зарабатывать,Расчет финансового потенциала,Практика,"1)Пропишите списком все ваши ежемесячные расходы и траты сейчас. Посчитайте сумму итого. 2) Далее пропишите ваши ежемесячные желаемые траты, как если бы у вас было столько денег, сколько вы хотите - и вы могли тратить на то, что хотите: регулярный массаж, регулярные походы ресторан и т.д. Посчитайте сумму итого. 3) Далее отнимите от 2-й суммы 1-ю - это и будет ваш финансовый потенциал - сумма, которую вы можете зарабатывать.",https://disk.yandex.ru/i/BxYRZh-ATzk-vw,
,5,,Как прийти к финансовой цели,Упражнение,"Для того, чтобы прийти к своим финансовым целям, важно фокусировать на них своё сознание. В этом поможет декомпозиция. 
Вы сделали задания «Мониторинг доходов и расходов» и «Определение финансового потенциала» и теперь знаете свои финансовые возможности на данный момент. Определите к какому финансовому результату вы хотите прийти и в какой срок. Не ставьте слишком длительный период: первую декомпозицию лучше сделать на 1-3 месяца. 
Разделите лист на 3 колонки. В первой колонке пропишите все свои способы заработка (продукт, услуга). Во второй – сумму заработка напротив каждого способа. В третьей – количество (сколько человек должны купить ваш продукт или услугу).  
Желательно расписать 3 варианта: сформулировать для себя план минимум, план средний и план максимум.",https://disk.yandex.ru/d/pUvj70t-g9aVTA,
,6,,Секрет богатых людей,,"Пропишите свои ежемесячные доходы. 
Выделите % от этих доходов (5-30%), который вы будете ежемесячно инвестировать (вложения, учеба. Благотворительность – отдельно). 
Фиксируйте сумму, которую вы проинвестировали.",https://disk.yandex.ru/i/QaQycKMBL8f9pA,
,7,Как зарабатывать в легкости,Научиться делегировать ,Практика,из венеры,https://disk.yandex.ru/d/pTniXopJuH3vgg,
